;Cantidad de personas;Año del censo;Partido;Sexo de nacimiento
311;0;1988;Exaltación de la Cruz;Mujeres Residentes del campo
312;0;1988;Ezeiza;Mujeres Residentes del campo
313;0;1988;Florencio Varela;Mujeres Residentes del campo
314;0;1988;Florentino Ameghino;Mujeres Residentes del campo
315;0;1988;General Alvarado;Mujeres Residentes del campo
316;0;1988;General Alvear;Mujeres Residentes del campo
317;0;1988;General Arenales;Mujeres Residentes del campo
318;0;1988;General Belgrano;Mujeres Residentes del campo
319;0;1988;General Guido;Mujeres Residentes del campo
320;0;1988;General Juan Madariaga;Mujeres Residentes del campo
321;0;1988;General La Madrid;Mujeres Residentes del campo
322;0;1988;General Las Heras;Mujeres Residentes del campo
323;0;1988;General Lavalle;Mujeres Residentes del campo
324;0;1988;General Paz;Mujeres Residentes del campo
325;0;1988;General Pinto;Mujeres Residentes del campo
326;0;1988;General Pueyrredón;Mujeres Residentes del campo
327;0;1988;General Rodríguez;Mujeres Residentes del campo
328;0;1988;General San Martín;Mujeres Residentes del campo
329;0;1988;General Sarmiento;Mujeres Residentes del campo
330;0;1988;General Viamonte;Mujeres Residentes del campo
331;0;1988;General Villegas;Mujeres Residentes del campo
332;0;1988;Guaminí;Mujeres Residentes del campo
333;0;1988;Hipólito Yrigoyen;Mujeres Residentes del campo
334;0;1988;Hurlingham;Mujeres Residentes del campo
335;0;1988;Ituzaingó;Mujeres Residentes del campo
336;0;1988;José C, Paz;Mujeres Residentes del campo
337;0;1988;Junín;Mujeres Residentes del campo
338;0;1988;La Costa;Mujeres Residentes del campo
339;0;1988;La Matanza;Mujeres Residentes del campo
340;0;1988;Lanús;Mujeres Residentes del campo
341;0;1988;La Plata;Mujeres Residentes del campo
342;0;1988;Laprida;Mujeres Residentes del campo
343;0;1988;Las Flores;Mujeres Residentes del campo
344;0;1988;Leandro N, Alem;Mujeres Residentes del campo
345;0;1988;Lezama;Mujeres Residentes del campo
346;0;1988;Lincoln;Mujeres Residentes del campo
347;0;1988;Lobería;Mujeres Residentes del campo
348;0;1988;Lobos;Mujeres Residentes del campo
349;0;1988;Lomas de Zamora;Mujeres Residentes del campo
350;0;1988;Luján;Mujeres Residentes del campo
351;0;1988;Magdalena;Mujeres Residentes del campo
352;0;1988;Maipú;Mujeres Residentes del campo
353;0;1988;Malvinas Argentinas;Mujeres Residentes del campo
354;0;1988;Mar Chiquita;Mujeres Residentes del campo
355;0;1988;Marcos Paz;Mujeres Residentes del campo
356;0;1988;Mercedes;Mujeres Residentes del campo
357;0;1988;Merlo;Mujeres Residentes del campo
358;0;1988;Monte;Mujeres Residentes del campo
359;0;1988;Monte Hermoso;Mujeres Residentes del campo
360;0;1988;Moreno;Mujeres Residentes del campo
361;0;1988;Morón;Mujeres Residentes del campo
362;0;1988;Navarro;Mujeres Residentes del campo
363;0;1988;Necochea;Mujeres Residentes del campo
364;0;1988;9 de julio;Mujeres Residentes del campo
365;0;1988;Olavarría;Mujeres Residentes del campo
366;0;1988;Patagones;Mujeres Residentes del campo
367;0;1988;Pehuajó;Mujeres Residentes del campo
368;0;1988;Pellegrini;Mujeres Residentes del campo
369;0;1988;Pergamino;Mujeres Residentes del campo
370;0;1988;Pila;Mujeres Residentes del campo
371;0;1988;Pilar;Mujeres Residentes del campo
372;0;1988;Pinamar;Mujeres Residentes del campo
373;0;1988;Presidente Perón;Mujeres Residentes del campo
374;0;1988;Puán;Mujeres Residentes del campo
375;0;1988;Punta Indio;Mujeres Residentes del campo
376;0;1988;Quilmes;Mujeres Residentes del campo
377;0;1988;Ramallo;Mujeres Residentes del campo
378;0;1988;Rauch;Mujeres Residentes del campo
379;0;1988;Rivadavia;Mujeres Residentes del campo
380;0;1988;Rojas;Mujeres Residentes del campo
381;0;1988;Roque Pérez;Mujeres Residentes del campo
382;0;1988;Saavedra;Mujeres Residentes del campo
383;0;1988;Saladillo;Mujeres Residentes del campo
384;0;1988;Salliqueló;Mujeres Residentes del campo
385;0;1988;Salto;Mujeres Residentes del campo
386;0;1988;San Andrés de Giles;Mujeres Residentes del campo
387;0;1988;San Antonio de Areco;Mujeres Residentes del campo
388;0;1988;San Cayetano;Mujeres Residentes del campo
389;0;1988;San Fernando;Mujeres Residentes del campo
390;0;1988;San Isidro;Mujeres Residentes del campo
391;0;1988;San Miguel;Mujeres Residentes del campo
392;0;1988;San Nicolás;Mujeres Residentes del campo
393;0;1988;San Pedro;Mujeres Residentes del campo
394;0;1988;San Vicente;Mujeres Residentes del campo
395;0;1988;Suipacha;Mujeres Residentes del campo
396;0;1988;Tandil;Mujeres Residentes del campo
397;0;1988;Tapalqué;Mujeres Residentes del campo
398;0;1988;Tigre;Mujeres Residentes del campo
399;0;1988;Tordillo;Mujeres Residentes del campo
400;0;1988;Tornquist;Mujeres Residentes del campo
401;0;1988;Trenque Lauquen;Mujeres Residentes del campo
402;0;1988;Tres Arroyos;Mujeres Residentes del campo
403;0;1988;Tres de Febrero;Mujeres Residentes del campo
404;0;1988;Tres Lomas;Mujeres Residentes del campo
405;0;1988;25 de mayo;Mujeres Residentes del campo
406;0;1988;Vicente López;Mujeres Residentes del campo
407;0;1988;Villa Gesell;Mujeres Residentes del campo
408;0;1988;Villarino;Mujeres Residentes del campo
409;0;1988;Zárate;Mujeres Residentes del campo
410;0;1988;Indeterminado;Mujeres Residentes del campo
0;56867;2018;Provincia de Buenos Aires;Varones Residentes del campo
1;759;2018;Adolfo Alsina;Varones Residentes del campo
2;344;2018;Adolfo Gonzales Chaves;Varones Residentes del campo
3;121;2018;Alberti;Varones Residentes del campo
4;144;2018;Almirante Brown;Varones Residentes del campo
5;489;2018;Arrecifes;Varones Residentes del campo
6;7;2018;Avellaneda;Varones Residentes del campo
7;938;2018;Ayacucho;Varones Residentes del campo
8;950;2018;Azul;Varones Residentes del campo
9;392;2018;Bahía Blanca;Varones Residentes del campo
10;688;2018;Balcarce;Varones Residentes del campo
11;352;2018;Baradero;Varones Residentes del campo
12;710;2018;Benito Juárez;Varones Residentes del campo
13;520;2018;Berazategui;Varones Residentes del campo
14;36;2018;Berisso;Varones Residentes del campo
15;789;2018;Bolívar;Varones Residentes del campo
16;265;2018;Bragado;Varones Residentes del campo
17;387;2018;Brandsen;Varones Residentes del campo
18;417;2018;Campana;Varones Residentes del campo
19;372;2018;Cañuelas;Varones Residentes del campo
20;207;2018;Capitán Sarmiento;Varones Residentes del campo
21;308;2018;Carlos Casares;Varones Residentes del campo
22;439;2018;Carlos Tejedor;Varones Residentes del campo
23;214;2018;Carmen de Areco;Varones Residentes del campo
24;356;2018;Castelli;Varones Residentes del campo
25;313;2018;Chacabuco;Varones Residentes del campo
26;697;2018;Chascomús;Varones Residentes del campo
27;398;2018;Chivilcoy;Varones Residentes del campo
28;136;2018;Colón;Varones Residentes del campo
29;164;2018;Coronel de Marina Leonardo Rosales;Varones Residentes del campo
30;775;2018;Coronel Dorrego;Varones Residentes del campo
31;590;2018;Coronel Pringles;Varones Residentes del campo
32;1006;2018;Coronel Suárez;Varones Residentes del campo
33;664;2018;Daireaux;Varones Residentes del campo
34;171;2018;Dolores;Varones Residentes del campo
35;12;2018;Ensenada;Varones Residentes del campo
36;60;2018;Escobar;Varones Residentes del campo
37;67;2018;Esteban Echeverría;Varones Residentes del campo
38;445;2018;Exaltación de la Cruz;Varones Residentes del campo
39;10;2018;Ezeiza;Varones Residentes del campo
40;989;2018;Florencio Varela;Varones Residentes del campo
41;294;2018;Florentino Ameghino;Varones Residentes del campo
42;283;2018;General Alvarado;Varones Residentes del campo
43;561;2018;General Alvear;Varones Residentes del campo
44;81;2018;General Arenales;Varones Residentes del campo
45;345;2018;General Belgrano;Varones Residentes del campo
46;404;2018;General Guido;Varones Residentes del campo
47;394;2018;General Juan Madariaga;Varones Residentes del campo
48;728;2018;General La Madrid;Varones Residentes del campo
49;379;2018;General Las Heras;Varones Residentes del campo
50;323;2018;General Lavalle;Varones Residentes del campo
51;404;2018;General Paz;Varones Residentes del campo
52;274;2018;General Pinto;Varones Residentes del campo
53;1309;2018;General Pueyrredón;Varones Residentes del campo
54;244;2018;General Rodríguez;Varones Residentes del campo
55;0;2018;General San Martín;Varones Residentes del campo
56;198;2018;General Viamonte;Varones Residentes del campo
57;756;2018;General Villegas;Varones Residentes del campo
58;720;2018;Guaminí;Varones Residentes del campo
59;238;2018;Hipólito Yrigoyen;Varones Residentes del campo
60;1;2018;Hurlingham;Varones Residentes del campo
61;0;2018;Ituzaingó;Varones Residentes del campo
62;13;2018;José C, Paz;Varones Residentes del campo
63;524;2018;Junín;Varones Residentes del campo
64;4;2018;La Costa;Varones Residentes del campo
65;26;2018;La Matanza;Varones Residentes del campo
66;0;2018;Lanús;Varones Residentes del campo
67;4370;2018;La Plata;Varones Residentes del campo
68;717;2018;Laprida;Varones Residentes del campo
69;574;2018;Las Flores;Varones Residentes del campo
70;314;2018;Leandro N, Alem;Varones Residentes del campo
71;223;2018;Lezama;Varones Residentes del campo
72;955;2018;Lincoln;Varones Residentes del campo
73;639;2018;Lobería;Varones Residentes del campo
74;720;2018;Lobos;Varones Residentes del campo
75;12;2018;Lomas de Zamora;Varones Residentes del campo
76;334;2018;Luján;Varones Residentes del campo
77;414;2018;Magdalena;Varones Residentes del campo
78;438;2018;Maipú;Varones Residentes del campo
79;28;2018;Malvinas Argentinas;Varones Residentes del campo
80;535;2018;Mar Chiquita;Varones Residentes del campo
81;392;2018;Marcos Paz;Varones Residentes del campo
82;434;2018;Mercedes;Varones Residentes del campo
83;220;2018;Merlo;Varones Residentes del campo
84;377;2018;Monte;Varones Residentes del campo
85;12;2018;Monte Hermoso;Varones Residentes del campo
86;77;2018;Moreno;Varones Residentes del campo
87;0;2018;Morón;Varones Residentes del campo
88;536;2018;Navarro;Varones Residentes del campo
89;719;2018;Necochea;Varones Residentes del campo
90;1011;2018;9 de julio;Varones Residentes del campo
91;1015;2018;Olavarría;Varones Residentes del campo
92;713;2018;Patagones;Varones Residentes del campo
93;720;2018;Pehuajó;Varones Residentes del campo
94;289;2018;Pellegrini;Varones Residentes del campo
95;592;2018;Pergamino;Varones Residentes del campo
96;817;2018;Pila;Varones Residentes del campo
97;216;2018;Pilar;Varones Residentes del campo
98;0;2018;Pinamar;Varones Residentes del campo
99;40;2018;Presidente Perón;Varones Residentes del campo
100;615;2018;Puán;Varones Residentes del campo
101;302;2018;Punta Indio;Varones Residentes del campo
102;8;2018;Quilmes;Varones Residentes del campo
103;171;2018;Ramallo;Varones Residentes del campo
104;745;2018;Rauch;Varones Residentes del campo
105;571;2018;Rivadavia;Varones Residentes del campo
106;356;2018;Rojas;Varones Residentes del campo
107;299;2018;Roque Pérez;Varones Residentes del campo
108;429;2018;Saavedra;Varones Residentes del campo
109;608;2018;Saladillo;Varones Residentes del campo
110;108;2018;Salliqueló;Varones Residentes del campo
