Column1;Año del censo;Partido;Cultivo;Total
465;2018;General Rodríguez;Oleaginosas;2622
466;2018;General San Martín;Oleaginosas;
467;2018;General Viamonte;Oleaginosas;54520
468;2018;General Villegas;Oleaginosas;191851,9
469;2018;Guaminí;Oleaginosas;87523,8
470;2018;Hipólito Yrigoyen;Oleaginosas;47216,1
471;2018;Hurlingham;Oleaginosas;0
472;2018;Ituzaingó;Oleaginosas;0
473;2018;José C, Paz;Oleaginosas;0
474;2018;Junín;Oleaginosas;74998,2
475;2018;La Costa;Oleaginosas;0
476;2018;La Matanza;Oleaginosas;1229,7
477;2018;Lanús;Oleaginosas;
478;2018;La Plata;Oleaginosas;448
479;2018;Laprida;Oleaginosas;9323
480;2018;Las Flores;Oleaginosas;16285
481;2018;Leandro N, Alem;Oleaginosas;48651,3
482;2018;Lezama;Oleaginosas;7277
483;2018;Lincoln;Oleaginosas;115423,6
484;2018;Lobería;Oleaginosas;132596,8
485;2018;Lobos;Oleaginosas;28711
486;2018;Lomas de Zamora;Oleaginosas;0
487;2018;Luján;Oleaginosas;14723,4
488;2018;Magdalena;Oleaginosas;1299
489;2018;Maipú;Oleaginosas;6633,5
490;2018;Malvinas Argentinas;Oleaginosas;0
491;2018;Mar Chiquita;Oleaginosas;17439
492;2018;Marcos Paz;Oleaginosas;3943,3
493;2018;Mercedes;Oleaginosas;14585,9
494;2018;Merlo;Oleaginosas;884,6
495;2018;Monte;Oleaginosas;25174,3
496;2018;Monte Hermoso;Oleaginosas;0
497;2018;Moreno;Oleaginosas;83
498;2018;Morón;Oleaginosas;0
499;2018;Navarro;Oleaginosas;30743,2
500;2018;Necochea;Oleaginosas;138412,3
501;2018;9 de julio;Oleaginosas;106725,4
502;2018;Olavarría;Oleaginosas;48402,4
503;2018;Patagones;Oleaginosas;4584,6
504;2018;Pehuajó;Oleaginosas;117938,7
505;2018;Pellegrini;Oleaginosas;59845,9
506;2018;Pergamino;Oleaginosas;131512,2
507;2018;Pila;Oleaginosas;4861
508;2018;Pilar;Oleaginosas;443
509;2018;Pinamar;Oleaginosas;
510;2018;Presidente Perón;Oleaginosas;0
511;2018;Puán;Oleaginosas;4621
512;2018;Punta Indio;Oleaginosas;0
513;2018;Quilmes;Oleaginosas;0
514;2018;Ramallo;Oleaginosas;50320,2
515;2018;Rauch;Oleaginosas;8243,5
516;2018;Rivadavia;Oleaginosas;129631,3
517;2018;Rojas;Oleaginosas;89188,8
518;2018;Roque Pérez;Oleaginosas;24824,8
519;2018;Saavedra;Oleaginosas;24452
520;2018;Saladillo;Oleaginosas;31755,4
521;2018;Salliqueló;Oleaginosas;26852,5
522;2018;Salto;Oleaginosas;76219,5
523;2018;San Andrés de Giles;Oleaginosas;39244,2
524;2018;San Antonio de Areco;Oleaginosas;38795,7
525;2018;San Cayetano;Oleaginosas;74802,8
526;2018;San Fernando;Oleaginosas;0
527;2018;San Isidro;Oleaginosas;
528;2018;San Miguel;Oleaginosas;0
529;2018;San Nicolás;Oleaginosas;30630,7
530;2018;San Pedro;Oleaginosas;49755,3
531;2018;San Vicente;Oleaginosas;335
532;2018;Suipacha;Oleaginosas;19042,8
533;2018;Tandil;Oleaginosas;121192,9
534;2018;Tapalqué;Oleaginosas;10791,5
535;2018;Tigre;Oleaginosas;0
536;2018;Tordillo;Oleaginosas;0
537;2018;Tornquist;Oleaginosas;4523
538;2018;Trenque Lauquen;Oleaginosas;128400,9
539;2018;Tres Arroyos;Oleaginosas;170290,6
540;2018;Tres de Febrero;Oleaginosas;0
541;2018;Tres Lomas;Oleaginosas;37910,5
542;2018;25 de mayo;Oleaginosas;107546,3
543;2018;Vicente López;Oleaginosas;
544;2018;Villa Gesell;Oleaginosas;
545;2018;Villarino;Oleaginosas;2422,5
