;Cantidad de EAPs;Año del censo;Partido;Sexo
304;0.0;1988;Coronel Pringles;Mujeres propietarias
305;0.0;1988;Coronel Suárez;Mujeres propietarias
306;0.0;1988;Daireaux;Mujeres propietarias
307;0.0;1988;Dolores;Mujeres propietarias
308;0.0;1988;Ensenada;Mujeres propietarias
309;0.0;1988;Escobar;Mujeres propietarias
310;0.0;1988;Esteban Echeverría;Mujeres propietarias
311;0.0;1988;Exaltación de la Cruz;Mujeres propietarias
312;0.0;1988;Ezeiza;Mujeres propietarias
313;0.0;1988;Florencio Varela;Mujeres propietarias
314;0.0;1988;Florentino Ameghino;Mujeres propietarias
315;0.0;1988;General Alvarado;Mujeres propietarias
316;0.0;1988;General Alvear;Mujeres propietarias
317;0.0;1988;General Arenales;Mujeres propietarias
318;0.0;1988;General Belgrano;Mujeres propietarias
319;0.0;1988;General Guido;Mujeres propietarias
320;0.0;1988;General Juan Madariaga;Mujeres propietarias
321;0.0;1988;General La Madrid;Mujeres propietarias
322;0.0;1988;General Las Heras;Mujeres propietarias
323;0.0;1988;General Lavalle;Mujeres propietarias
324;0.0;1988;General Paz;Mujeres propietarias
325;0.0;1988;General Pinto;Mujeres propietarias
326;0.0;1988;General Pueyrredón;Mujeres propietarias
327;0.0;1988;General Rodríguez;Mujeres propietarias
328;0.0;1988;General San Martín;Mujeres propietarias
329;0.0;1988;General Sarmiento;Mujeres propietarias
330;0.0;1988;General Viamonte;Mujeres propietarias
331;0.0;1988;General Villegas;Mujeres propietarias
332;0.0;1988;Guaminí;Mujeres propietarias
333;0.0;1988;Hipólito Yrigoyen;Mujeres propietarias
334;0.0;1988;Hurlingham;Mujeres propietarias
335;0.0;1988;Ituzaingó;Mujeres propietarias
336;0.0;1988;José C, Paz;Mujeres propietarias
337;0.0;1988;Junín;Mujeres propietarias
338;0.0;1988;La Costa;Mujeres propietarias
339;0.0;1988;La Matanza;Mujeres propietarias
340;0.0;1988;Lanús;Mujeres propietarias
341;0.0;1988;La Plata;Mujeres propietarias
342;0.0;1988;Laprida;Mujeres propietarias
343;0.0;1988;Las Flores;Mujeres propietarias
344;0.0;1988;Leandro N, Alem;Mujeres propietarias
345;0.0;1988;Lezama;Mujeres propietarias
346;0.0;1988;Lincoln;Mujeres propietarias
347;0.0;1988;Lobería;Mujeres propietarias
348;0.0;1988;Lobos;Mujeres propietarias
349;0.0;1988;Lomas de Zamora;Mujeres propietarias
350;0.0;1988;Luján;Mujeres propietarias
351;0.0;1988;Magdalena;Mujeres propietarias
352;0.0;1988;Maipú;Mujeres propietarias
353;0.0;1988;Malvinas Argentinas;Mujeres propietarias
354;0.0;1988;Mar Chiquita;Mujeres propietarias
355;0.0;1988;Marcos Paz;Mujeres propietarias
356;0.0;1988;Mercedes;Mujeres propietarias
357;0.0;1988;Merlo;Mujeres propietarias
358;0.0;1988;Monte;Mujeres propietarias
359;0.0;1988;Monte Hermoso;Mujeres propietarias
360;0.0;1988;Moreno;Mujeres propietarias
361;0.0;1988;Morón;Mujeres propietarias
362;0.0;1988;Navarro;Mujeres propietarias
363;0.0;1988;Necochea;Mujeres propietarias
364;0.0;1988;9 de julio;Mujeres propietarias
365;0.0;1988;Olavarría;Mujeres propietarias
366;0.0;1988;Patagones;Mujeres propietarias
367;0.0;1988;Pehuajó;Mujeres propietarias
368;0.0;1988;Pellegrini;Mujeres propietarias
369;0.0;1988;Pergamino;Mujeres propietarias
370;0.0;1988;Pila;Mujeres propietarias
371;0.0;1988;Pilar;Mujeres propietarias
372;0.0;1988;Pinamar;Mujeres propietarias
373;0.0;1988;Presidente Perón;Mujeres propietarias
374;0.0;1988;Puán;Mujeres propietarias
375;0.0;1988;Punta Indio;Mujeres propietarias
376;0.0;1988;Quilmes;Mujeres propietarias
377;0.0;1988;Ramallo;Mujeres propietarias
378;0.0;1988;Rauch;Mujeres propietarias
379;0.0;1988;Rivadavia;Mujeres propietarias
380;0.0;1988;Rojas;Mujeres propietarias
381;0.0;1988;Roque Pérez;Mujeres propietarias
382;0.0;1988;Saavedra;Mujeres propietarias
383;0.0;1988;Saladillo;Mujeres propietarias
384;0.0;1988;Salliqueló;Mujeres propietarias
385;0.0;1988;Salto;Mujeres propietarias
386;0.0;1988;San Andrés de Giles;Mujeres propietarias
387;0.0;1988;San Antonio de Areco;Mujeres propietarias
388;0.0;1988;San Cayetano;Mujeres propietarias
389;0.0;1988;San Fernando;Mujeres propietarias
390;0.0;1988;San Isidro;Mujeres propietarias
391;0.0;1988;San Miguel;Mujeres propietarias
392;0.0;1988;San Nicolás;Mujeres propietarias
393;0.0;1988;San Pedro;Mujeres propietarias
394;0.0;1988;San Vicente;Mujeres propietarias
395;0.0;1988;Suipacha;Mujeres propietarias
396;0.0;1988;Tandil;Mujeres propietarias
397;0.0;1988;Tapalqué;Mujeres propietarias
398;0.0;1988;Tigre;Mujeres propietarias
399;0.0;1988;Tordillo;Mujeres propietarias
400;0.0;1988;Tornquist;Mujeres propietarias
401;0.0;1988;Trenque Lauquen;Mujeres propietarias
402;0.0;1988;Tres Arroyos;Mujeres propietarias
403;0.0;1988;Tres de Febrero;Mujeres propietarias
404;0.0;1988;Tres Lomas;Mujeres propietarias
405;0.0;1988;25 de mayo;Mujeres propietarias
406;0.0;1988;Vicente López;Mujeres propietarias
407;0.0;1988;Villa Gesell;Mujeres propietarias
408;0.0;1988;Villarino;Mujeres propietarias
409;0.0;1988;Zárate;Mujeres propietarias
410;0.0;1988;Indeterminado;Mujeres propietarias
0;19671.0;2018;Provincia de Buenos Aires;Hombres propietarios
1;349.0;2018;Adolfo Alsina;Hombres propietarios
2;148.0;2018;Adolfo Gonzales Chaves;Hombres propietarios
3;107.0;2018;Alberti;Hombres propietarios
4;33.0;2018;Almirante Brown;Hombres propietarios
5;114.0;2018;Arrecifes;Hombres propietarios
6;1.0;2018;Avellaneda;Hombres propietarios
7;336.0;2018;Ayacucho;Hombres propietarios
8;312.0;2018;Azul;Hombres propietarios
9;172.0;2018;Bahía Blanca;Hombres propietarios
10;174.0;2018;Balcarce;Hombres propietarios
11;96.0;2018;Baradero;Hombres propietarios
12;249.0;2018;Benito Juárez;Hombres propietarios
13;208.0;2018;Berazategui;Hombres propietarios
14;35.0;2018;Berisso;Hombres propietarios
15;517.0;2018;Bolívar;Hombres propietarios
16;137.0;2018;Bragado;Hombres propietarios
17;98.0;2018;Brandsen;Hombres propietarios
18;87.0;2018;Campana;Hombres propietarios
19;92.0;2018;Cañuelas;Hombres propietarios
20;60.0;2018;Capitán Sarmiento;Hombres propietarios
21;128.0;2018;Carlos Casares;Hombres propietarios
22;205.0;2018;Carlos Tejedor;Hombres propietarios
23;40.0;2018;Carmen de Areco;Hombres propietarios
24;58.0;2018;Castelli;Hombres propietarios
25;196.0;2018;Chacabuco;Hombres propietarios
26;237.0;2018;Chascomús;Hombres propietarios
27;227.0;2018;Chivilcoy;Hombres propietarios
28;131.0;2018;Colón;Hombres propietarios
29;72.0;2018;Coronel de Marina Leonardo Rosales;Hombres propietarios
30;203.0;2018;Coronel Dorrego;Hombres propietarios
31;299.0;2018;Coronel Pringles;Hombres propietarios
32;385.0;2018;Coronel Suárez;Hombres propietarios
33;191.0;2018;Daireaux;Hombres propietarios
34;91.0;2018;Dolores;Hombres propietarios
35;11.0;2018;Ensenada;Hombres propietarios
36;34.0;2018;Escobar;Hombres propietarios
37;26.0;2018;Esteban Echeverría;Hombres propietarios
38;69.0;2018;Exaltación de la Cruz;Hombres propietarios
39;1.0;2018;Ezeiza;Hombres propietarios
40;285.0;2018;Florencio Varela;Hombres propietarios
41;55.0;2018;Florentino Ameghino;Hombres propietarios
42;42.0;2018;General Alvarado;Hombres propietarios
43;119.0;2018;General Alvear;Hombres propietarios
44;169.0;2018;General Arenales;Hombres propietarios
45;77.0;2018;General Belgrano;Hombres propietarios
46;165.0;2018;General Guido;Hombres propietarios
47;114.0;2018;General Juan Madariaga;Hombres propietarios
48;176.0;2018;General La Madrid;Hombres propietarios
49;122.0;2018;General Las Heras;Hombres propietarios
50;138.0;2018;General Lavalle;Hombres propietarios
51;176.0;2018;General Paz;Hombres propietarios
52;78.0;2018;General Pinto;Hombres propietarios
53;186.0;2018;General Pueyrredón;Hombres propietarios
54;49.0;2018;General Rodríguez;Hombres propietarios
55;0.0;2018;General San Martín;Hombres propietarios
56;123.0;2018;General Viamonte;Hombres propietarios
57;253.0;2018;General Villegas;Hombres propietarios
58;332.0;2018;Guaminí;Hombres propietarios
59;97.0;2018;Hipólito Yrigoyen;Hombres propietarios
60;0.0;2018;Hurlingham;Hombres propietarios
61;1.0;2018;Ituzaingó;Hombres propietarios
62;5.0;2018;José C, Paz;Hombres propietarios
63;272.0;2018;Junín;Hombres propietarios
64;10.0;2018;La Costa;Hombres propietarios
65;9.0;2018;La Matanza;Hombres propietarios
66;0.0;2018;Lanús;Hombres propietarios
67;1029.0;2018;La Plata;Hombres propietarios
68;143.0;2018;Laprida;Hombres propietarios
69;205.0;2018;Las Flores;Hombres propietarios
70;85.0;2018;Leandro N, Alem;Hombres propietarios
71;138.0;2018;Lezama;Hombres propietarios
72;293.0;2018;Lincoln;Hombres propietarios
73;178.0;2018;Lobería;Hombres propietarios
74;196.0;2018;Lobos;Hombres propietarios
