;HA de EAPs;Año del censo;Partido;Tamaño EAPs
352;37448.0;1988;Maipú;Pequeñas (<=500 ha)
353;0.0;1988;Malvinas Argentinas;Pequeñas (<=500 ha)
354;52429.0;1988;Mar Chiquita;Pequeñas (<=500 ha)
355;23096.0;1988;Marcos Paz;Pequeñas (<=500 ha)
356;55654.0;1988;Mercedes;Pequeñas (<=500 ha)
357;1879.0;1988;Merlo;Pequeñas (<=500 ha)
358;48071.0;1988;Monte;Pequeñas (<=500 ha)
359;0.0;1988;Monte Hermoso;Pequeñas (<=500 ha)
360;2136.0;1988;Moreno;Pequeñas (<=500 ha)
361;4.0;1988;Morón;Pequeñas (<=500 ha)
362;71135.0;1988;Navarro;Pequeñas (<=500 ha)
363;95816.0;1988;Necochea;Pequeñas (<=500 ha)
364;148478.0;1988;9 de julio;Pequeñas (<=500 ha)
365;144148.0;1988;Olavarría;Pequeñas (<=500 ha)
366;113430.0;1988;Patagones;Pequeñas (<=500 ha)
367;144851.0;1988;Pehuajó;Pequeñas (<=500 ha)
368;39639.0;1988;Pellegrini;Pequeñas (<=500 ha)
369;174391.0;1988;Pergamino;Pequeñas (<=500 ha)
370;43607.0;1988;Pila;Pequeñas (<=500 ha)
371;13993.0;1988;Pilar;Pequeñas (<=500 ha)
372;0.0;1988;Pinamar;Pequeñas (<=500 ha)
373;0.0;1988;Presidente Perón;Pequeñas (<=500 ha)
374;192660.0;1988;Puán;Pequeñas (<=500 ha)
375;0.0;1988;Punta Indio;Pequeñas (<=500 ha)
376;0.0;1988;Quilmes;Pequeñas (<=500 ha)
377;51013.0;1988;Ramallo;Pequeñas (<=500 ha)
378;126588.0;1988;Rauch;Pequeñas (<=500 ha)
379;80478.0;1988;Rivadavia;Pequeñas (<=500 ha)
380;80400.0;1988;Rojas;Pequeñas (<=500 ha)
381;53352.0;1988;Roque Pérez;Pequeñas (<=500 ha)
382;107518.0;1988;Saavedra;Pequeñas (<=500 ha)
383;106565.0;1988;Saladillo;Pequeñas (<=500 ha)
384;39342.0;1988;Salliqueló;Pequeñas (<=500 ha)
385;75102.0;1988;Salto;Pequeñas (<=500 ha)
386;37392.0;1988;San Andrés de Giles;Pequeñas (<=500 ha)
387;32739.0;1988;San Antonio de Areco;Pequeñas (<=500 ha)
388;87430.0;1988;San Cayetano;Pequeñas (<=500 ha)
389;10624.0;1988;San Fernando;Pequeñas (<=500 ha)
390;6.0;1988;San Isidro;Pequeñas (<=500 ha)
391;0.0;1988;San Miguel;Pequeñas (<=500 ha)
392;42282.0;1988;San Nicolás;Pequeñas (<=500 ha)
393;68502.0;1988;San Pedro;Pequeñas (<=500 ha)
394;33337.0;1988;San Vicente;Pequeñas (<=500 ha)
395;47906.0;1988;Suipacha;Pequeñas (<=500 ha)
396;116200.0;1988;Tandil;Pequeñas (<=500 ha)
397;71965.0;1988;Tapalqué;Pequeñas (<=500 ha)
398;1774.0;1988;Tigre;Pequeñas (<=500 ha)
399;10645.0;1988;Tordillo;Pequeñas (<=500 ha)
400;98488.0;1988;Tornquist;Pequeñas (<=500 ha)
401;111264.0;1988;Trenque Lauquen;Pequeñas (<=500 ha)
402;150196.0;1988;Tres Arroyos;Pequeñas (<=500 ha)
403;6.0;1988;Tres de Febrero;Pequeñas (<=500 ha)
404;49831.0;1988;Tres Lomas;Pequeñas (<=500 ha)
405;120253.0;1988;25 de mayo;Pequeñas (<=500 ha)
406;0.0;1988;Vicente López;Pequeñas (<=500 ha)
407;0.0;1988;Villa Gesell;Pequeñas (<=500 ha)
408;149824.0;1988;Villarino;Pequeñas (<=500 ha)
409;33264.0;1988;Zárate;Pequeñas (<=500 ha)
410;0.0;1988;Indeterminado;Pequeñas (<=500 ha)
0;19449554.0;2018;Provincia de Buenos Aires;Grandes (>500 ha)
1;418132.0;2018;Adolfo Alsina;Grandes (>500 ha)
2;245268.0;2018;Adolfo Gonzales Chaves;Grandes (>500 ha)
3;34003.0;2018;Alberti;Grandes (>500 ha)
4;0.0;2018;Almirante Brown;Grandes (>500 ha)
5;58104.0;2018;Arrecifes;Grandes (>500 ha)
6;0.0;2018;Avellaneda;Grandes (>500 ha)
7;425468.0;2018;Ayacucho;Grandes (>500 ha)
8;398571.0;2018;Azul;Grandes (>500 ha)
9;146104.0;2018;Bahía Blanca;Grandes (>500 ha)
10;224897.0;2018;Balcarce;Grandes (>500 ha)
11;57706.0;2018;Baradero;Grandes (>500 ha)
12;372102.0;2018;Benito Juárez;Grandes (>500 ha)
13;0.0;2018;Berazategui;Grandes (>500 ha)
14;0.0;2018;Berisso;Grandes (>500 ha)
15;255327.0;2018;Bolívar;Grandes (>500 ha)
16;93355.0;2018;Bragado;Grandes (>500 ha)
17;40204.0;2018;Brandsen;Grandes (>500 ha)
18;28563.0;2018;Campana;Grandes (>500 ha)
19;35524.0;2018;Cañuelas;Grandes (>500 ha)
20;16300.0;2018;Capitán Sarmiento;Grandes (>500 ha)
21;78109.0;2018;Carlos Casares;Grandes (>500 ha)
22;160158.0;2018;Carlos Tejedor;Grandes (>500 ha)
23;52033.0;2018;Carmen de Areco;Grandes (>500 ha)
24;128729.0;2018;Castelli;Grandes (>500 ha)
25;83280.0;2018;Chacabuco;Grandes (>500 ha)
26;171429.0;2018;Chascomús;Grandes (>500 ha)
