;HA de EAPs;Año del censo;Partido;Tipo forrajera
8;30701;2018;Azul;1.Forrajeras perennes
9;4196;2018;Bahía Blanca;1.Forrajeras perennes
10;30338;2018;Balcarce;1.Forrajeras perennes
11;2792;2018;Baradero;1.Forrajeras perennes
12;14880;2018;Benito Juárez;1.Forrajeras perennes
13;0;2018;Berazategui;1.Forrajeras perennes
14;0;2018;Berisso;1.Forrajeras perennes
15;16723;2018;Bolívar;1.Forrajeras perennes
16;5542;2018;Bragado;1.Forrajeras perennes
17;1839;2018;Brandsen;1.Forrajeras perennes
18;639;2018;Campana;1.Forrajeras perennes
19;3349;2018;Cañuelas;1.Forrajeras perennes
20;3436;2018;Capitán Sarmiento;1.Forrajeras perennes
21;11807;2018;Carlos Casares;1.Forrajeras perennes
22;16014;2018;Carlos Tejedor;1.Forrajeras perennes
23;3167;2018;Carmen de Areco;1.Forrajeras perennes
24;6232;2018;Castelli;1.Forrajeras perennes
25;5480;2018;Chacabuco;1.Forrajeras perennes
26;8815;2018;Chascomús;1.Forrajeras perennes
27;3192;2018;Chivilcoy;1.Forrajeras perennes
28;2203;2018;Colón;1.Forrajeras perennes
29;8046;2018;Coronel de Marina Leonardo Rosales;1.Forrajeras perennes
30;7471;2018;Coronel Dorrego;1.Forrajeras perennes
31;7308;2018;Coronel Pringles;1.Forrajeras perennes
32;32687;2018;Coronel Suárez;1.Forrajeras perennes
33;26262;2018;Daireaux;1.Forrajeras perennes
34;1355;2018;Dolores;1.Forrajeras perennes
35;0;2018;Ensenada;1.Forrajeras perennes
36;985;2018;Escobar;1.Forrajeras perennes
37;77;2018;Esteban Echeverría;1.Forrajeras perennes
38;3366;2018;Exaltación de la Cruz;1.Forrajeras perennes
39;0;2018;Ezeiza;1.Forrajeras perennes
40;1;2018;Florencio Varela;1.Forrajeras perennes
41;8388;2018;Florentino Ameghino;1.Forrajeras perennes
42;7118;2018;General Alvarado;1.Forrajeras perennes
43;14323;2018;General Alvear;1.Forrajeras perennes
44;1803;2018;General Arenales;1.Forrajeras perennes
45;5921;2018;General Belgrano;1.Forrajeras perennes
46;618;2018;General Guido;1.Forrajeras perennes
47;12072;2018;General Juan Madariaga;1.Forrajeras perennes
48;43523;2018;General La Madrid;1.Forrajeras perennes
49;2350;2018;General Las Heras;1.Forrajeras perennes
50;2736;2018;General Lavalle;1.Forrajeras perennes
51;4120;2018;General Paz;1.Forrajeras perennes
52;5992;2018;General Pinto;1.Forrajeras perennes
53;3877;2018;General Pueyrredón;1.Forrajeras perennes
54;1386;2018;General Rodríguez;1.Forrajeras perennes
55;0;2018;General San Martín;1.Forrajeras perennes
56;3334;2018;General Viamonte;1.Forrajeras perennes
57;28464;2018;General Villegas;1.Forrajeras perennes
58;46973;2018;Guaminí;1.Forrajeras perennes
59;2808;2018;Hipólito Yrigoyen;1.Forrajeras perennes
60;0;2018;Hurlingham;1.Forrajeras perennes
61;0;2018;Ituzaingó;1.Forrajeras perennes
62;0;2018;José C, Paz;1.Forrajeras perennes
63;4394;2018;Junín;1.Forrajeras perennes
64;0;2018;La Costa;1.Forrajeras perennes
65;270;2018;La Matanza;1.Forrajeras perennes
66;0;2018;Lanús;1.Forrajeras perennes
67;950;2018;La Plata;1.Forrajeras perennes
68;10847;2018;Laprida;1.Forrajeras perennes
69;6871;2018;Las Flores;1.Forrajeras perennes
70;1167;2018;Leandro N, Alem;1.Forrajeras perennes
71;4305;2018;Lezama;1.Forrajeras perennes
72;16545;2018;Lincoln;1.Forrajeras perennes
73;23797;2018;Lobería;1.Forrajeras perennes
74;2896;2018;Lobos;1.Forrajeras perennes
75;41;2018;Lomas de Zamora;1.Forrajeras perennes
