;HA de EAPs;Año del censo;Partido;Tipo de Oleaginosa
91;8764;2018;Olavarría;2.Otras oleaginosas
92;4555;2018;Patagones;2.Otras oleaginosas
93;6897;2018;Pehuajó;2.Otras oleaginosas
94;19028;2018;Pellegrini;2.Otras oleaginosas
95;0;2018;Pergamino;2.Otras oleaginosas
96;929;2018;Pila;2.Otras oleaginosas
97;0;2018;Pilar;2.Otras oleaginosas
98;0;2018;Pinamar;2.Otras oleaginosas
99;0;2018;Presidente Perón;2.Otras oleaginosas
100;2342;2018;Puán;2.Otras oleaginosas
101;0;2018;Punta Indio;2.Otras oleaginosas
102;0;2018;Quilmes;2.Otras oleaginosas
103;108;2018;Ramallo;2.Otras oleaginosas
104;3772;2018;Rauch;2.Otras oleaginosas
105;10204;2018;Rivadavia;2.Otras oleaginosas
106;329;2018;Rojas;2.Otras oleaginosas
107;1240;2018;Roque Pérez;2.Otras oleaginosas
108;6737;2018;Saavedra;2.Otras oleaginosas
109;1003;2018;Saladillo;2.Otras oleaginosas
110;8313;2018;Salliqueló;2.Otras oleaginosas
111;112;2018;Salto;2.Otras oleaginosas
112;233;2018;San Andrés de Giles;2.Otras oleaginosas
113;484;2018;San Antonio de Areco;2.Otras oleaginosas
114;23618;2018;San Cayetano;2.Otras oleaginosas
115;0;2018;San Fernando;2.Otras oleaginosas
116;0;2018;San Isidro;2.Otras oleaginosas
117;0;2018;San Miguel;2.Otras oleaginosas
118;15;2018;San Nicolás;2.Otras oleaginosas
119;509;2018;San Pedro;2.Otras oleaginosas
120;0;2018;San Vicente;2.Otras oleaginosas
121;0;2018;Suipacha;2.Otras oleaginosas
122;31033;2018;Tandil;2.Otras oleaginosas
123;3202;2018;Tapalqué;2.Otras oleaginosas
124;0;2018;Tigre;2.Otras oleaginosas
125;0;2018;Tordillo;2.Otras oleaginosas
126;2715;2018;Tornquist;2.Otras oleaginosas
127;24420;2018;Trenque Lauquen;2.Otras oleaginosas
128;42191;2018;Tres Arroyos;2.Otras oleaginosas
