LOCALIDAD;TIPO DE ORDENANZA;FECHA;ORDENANZA;LINK;Crea un organismo municipal de certificacion agroecologica;Crea un registro de productores agroecologicos;Posee promocion de cursos, talleres y capacitaciones;Asesoramiento y ayuda;Bonificaciónes las tasas municipales de red vial/ exenciones impositivas.;Ser priorizado en la compra estatal local.;Que el Municipio promueva y difunda en medios oficiales sus producciones;Que se favorezcan sus procesos de organización y participación en ferias y mercados locales.;Facilitar , promover , articular , tramitar acciones, dialigo , certificaciones con la provincia y /o la nacion r..;Una participación prioritaria en eventos y exposiciones dentro del territorio Municipal- de carácter institucional, cultural, etc;Acceso a tierra / facilidades para terrenos;Facilitar acceso a creditos;Comprende producción ganadera;EL MUNICIPIO FORMA PARTE DE LA RENAMA;Puntaje - agroeco;Puntaje - agroeco NORMALIZADO
Salliqueló;FOMENTO A LA AGROECOLOGÍA;13/11/2019;N° /19;https://drive.google.com/file/d/1wWwnF6krPF9qJiWoiyAy6rihoTt6cuZh/view?usp=sharing;NO;NO;SI;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO;SI;8;0.5333333333
Salto;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
San Andrés de Giles;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
San Antonio de Areco;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
San Cayetano;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
San Fernando;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
San Isidro;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
San Miguel;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
San Nicolás;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
San Pedro;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
San Vicente;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Suipacha;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Tandil;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Tapalqué;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Tigre;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Tordillo;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Tornquist;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Trenque Lauquen;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Tres Arroyos;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Tres de Febrero;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Tres Lomas;SIN ORDENANZA;;;;;;;;;;;;;;;;;SI;5;0.3333333333
Veinticindo de Mayo.;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Vicente López;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Villa Gesell;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Villarino;FOMENTO A LA AGROECOLOGÍA - SISTEMA DE GARANTÍA PARTICIPATIVA DE PRODUCTORES AGROECOLÓGICOS;21/11/2019;3242/18;https://drive.google.com/file/d/1EmH9ZJ0J0LR5SnAnLkNy2aAq6X_tKGSk/view;SI;SI;NO;SI;NO;NO;SI;NO;NO;NO;NO;NO;NO;;4;0.2666666667
Zárate;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
